    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
平均,   29,   26,   23,   21,   23,   22,   27,   34,   37,   33,   28,   25,   24,   27,   26,   24,   27,   30,   38,   40,   37,   34,   31,   29,   29,     ,     ,     ,     
最高,   96,  114,  109,   79,   72,   65,   74,  116,  174,  130,  108,   93,  108,  124,  121,  118,  114,  122,  217,  284,  213,  143,  122,  113,     ,  284,     ,     ,     
最低,    5,    5,    5,    5,    4,    5,    6,    7,    7,    5,    5,    5,    5,    4,    4,    5,    6,    6,    6,    7,    5,    5,    5,    6,     ,     ,    4,     ,     
日数,   26,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   30,   29,   29,   30,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  733,     
合計,  747,  801,  710,  653,  698,  680,  825, 1059, 1132, 1027,  871,  763,  717,  771,  749,  719,  828,  941, 1166, 1245, 1159, 1048,  970,  914,     ,     ,     ,     ,21193
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (6),浮遊粒子状物質         ,単位, μg/m3
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   18,    5,    3,    4,    3,    4,    3,    5,    5,    5,    5,    8,    9,    8,    8,    8,   10,    8,    9,    9,   11,    8,    6,    5,    7,   18,    3,   24,  167
 2日,    7,    7,    7,    6,    6,    8,    8,    8,   10,   12,    8,    8,    4,   12,   13,   10,    8,    7,   11,   11,   14,    9,   15,   12,    9,   15,    4,   24,  221
 3日,    8,    6,    5,    3,    7,    4,    7,    4,    5,    4,    3,    5,    3,    4,    5,    6,    7,   10,   10,   12,    9,    9,    8,   13,    7,   13,    3,   24,  157
 4日,    9,   10,    8,    9,    7,    9,   10,   11,   11,   11,   12,   15,   16,   11,   13,   14,   18,   23,   26,   28,   35,   29,   25,   24,   16,   35,    7,   24,  384
 5日,   17,   16,   15,   16,   19,   19,   18,   16,   16,   16,   17,   18,   19,   21,   25,   26,   31,   27,   32,   38,   32,   33,   30,   29,   23,   38,   15,   24,  546
 6日,   22,   18,   15,   14,   14,   11,   14,   14,   14,   16,   19,   16,   20,   22,   24,   25,   22,   25,   27,    4,    4,    5,    5,    5,   16,   27,    4,   24,  375
 7日,    5,    5,    6,    3,    5,    5,    3,    5,    3,    4,    5,    6,    8,    5,    6,    4,    6,    5,    6,    6,    9,    7,    8,    7,    6,    9,    3,   24,  132
 8日,    8,    8,    9,    8,    7,    6,    5,    7,    8,    6,    4,    5,    8,*****,    9,   13,   14,   16,   14,   12,    8,    8,    9,   10,    9,   16,    4,   23,  202
 9日,    6,    6,    6,    5,    5,    4,    6,    5,    8,    6,    6,    8,    7,   10,   10,    9,    9,   10,   11,    9,    8,    8,    5,    5,    7,   11,    4,   24,  172
10日,    6,    6,    4,    4,    7,    5,    5,    6,    6,    6,    5,    7,   13,   17,    7,    5,    4,    6,    9,   13,    8,    7,   11,    9,    7,   17,    4,   24,  176
11日,   10,    4,    4,    3,    5,    9,    6,    7,    5,    5,    2,    8,    9,   11,    8,    9,   13,   17,   17,   16,   18,   20,   15,    6,    9,   20,    2,   24,  227
12日,    3,    5,    3,    5,    4,    5,    8,    5,    5,    4,    8,    8,    8,    5,    9,    6,    6,    6,    4,    5,    6,    4,    5,    5,    6,    9,    3,   24,  132
13日,    5,    5,    3,    3,    5,    6,    4,    6,    6,    6,    7,    7,    6,    6,    6,   13,   14,   18,   10,    9,   12,   11,    8,   10,    8,   18,    3,   24,  186
14日,    9,   11,   11,   12,   12,   13,   12,   15,   13,   17,   20,   21,   33,   34,   37,   40,   41,   42,   48,   55,   47,   49,   50,   50,   29,   55,    9,   24,  692
15日,   53,   56,   54,   59,   59,   60,   54,   51,   50,   50,   44,   42,*****,   43,   44,   28,   23,   18,    8,    6,    4,    8,    5,    5,   36,   60,    4,   23,  824
16日,    6,    4,    2,    5,    7,   14,   16,   17,   20,   15,   15,   15,   13,   21,   23,   22,   19,   19,   17,   17,   21,   21,   20,   20,   15,   23,    2,   24,  369
17日,   22,   22,   20,   22,   23,   25,   25,   25,   23,   20,   13,    1,    6,    5,    9,    7,    4,    8,    8,    5,    4,    6,    4,    7,   13,   25,    1,   24,  314
18日,    8,    7,    4,    7,    6,    7,    6,    4,    6,    3,    3,    1,    6,    7,    7,    9,    7,    9,    8,    8,   14,   10,    8,   10,    7,   14,    1,   24,  165
19日,    9,    9,    8,    8,   11,   14,   11,   12,   12,   11,   17,   15,   12,   12,   16,   17,   17,   19,   17,   10,    9,   10,   14,   15,   13,   19,    8,   24,  305
20日,   14,   12,   14,   15,   17,   14,   16,   19,   19,   22,   19,   18,   22,   19,   17,   16,   16,   15,   17,   14,   13,   17,   15,   15,   16,   22,   12,   24,  395
21日,   14,   17,   15,   20,   18,   14,   19,   21,   20,   24,   25,   26,   24,   27,   33,   32,   26,   29,   23,   23,   21,   22,   25,   27,   23,   33,   14,   24,  545
22日,   27,   26,   24,   20,   16,   24,   20,   19,   20,   19,   19,   16,   18,   14,*****,   13,   15,   21,   21,   14,   12,    9,   11,    9,   18,   27,    9,   23,  407
23日,    7,    8,    8,   11,    5,    8,   10,   15,   17,   16,    4,    2,    5,    5,    9,   10,    7,    7,    8,    5,    7,    7,    5,    4,    8,   17,    2,   24,  190
24日,    7,    6,    4,    5,    5,    8,    6,    6,    5,    7,    8,   13,   13,   14,   15,   16,   16,   15,   20,   24,   23,   24,   25,   22,   13,   25,    4,   24,  307
25日,   24,   25,   26,   26,   24,   23,   21,   19,   20,   18,   17,   16,   17,   17,   14,   14,   16,   17,   16,   17,   17,   18,   19,   18,   19,   26,   14,   24,  459
26日,   22,   22,   20,   16,   20,   22,   27,   25,   27,   26,   25,   22,   38,   42,   29,   39,   46,   46,   48,   42,   38,   41,   45,   47,   32,   48,   16,   24,  775
27日,   46,   46,   45,   44,   42,   31,   25,   28,   29,   25,   23,   16,   17,   18,   16,    3,    4,    4,    3,    6,    5,    6,    6,    6,   21,   46,    3,   24,  494
28日,    7,    6,    3,    3,    5,    1,    4,    6,    5,    6,    5,    4,    6,    5,    5,    6,    4,    5,    7,    7,    4,    6,    6,    5,    5,    7,    1,   24,  121
29日,    3,    6,    2,    8,    5,    6,    5,    7,    7,    8,    8,    9,   12,*****,    9,    9,    9,   17,   13,    8,   11,   10,   10,   12,    8,   17,    2,   23,  194
30日,   11,    9,    9,   11,   14,   17,   14,   16,   15,   14,   14,   19,   20,   16,   24,   23,   19,   13,   16,   13,   14,   13,   12,   15,   15,   24,    9,   24,  361
31日,   16,   19,   20,   20,   18,   20,   12,    5,    2,    4,    3,    4,    3,    1,    4,    2,    3,    4,    5,    4,    4,    7,    6,    4,    8,   20,    1,   24,  190
平均,   14,   13,   12,   13,   13,   13,   13,   13,   13,   13,   12,   12,   13,   15,   15,   15,   15,   16,   16,   15,   14,   14,   14,   14,   14,     ,     ,     ,     
最高,   53,   56,   54,   59,   59,   60,   54,   51,   50,   50,   44,   42,   38,   43,   44,   40,   46,   46,   48,   55,   47,   49,   50,   50,     ,   60,     ,     ,     
最低,    3,    4,    2,    3,    3,    1,    3,    4,    2,    3,    2,    1,    3,    1,    4,    2,    3,    4,    3,    4,    4,    4,    4,    4,     ,     ,    1,     ,     
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   30,   29,   30,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  740,     
合計,  429,  412,  377,  395,  401,  416,  400,  409,  412,  406,  383,  379,  395,  432,  454,  454,  454,  486,  489,  450,  442,  442,  436,  431,     ,     ,     ,     ,10184
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目,(11),風向              ,      
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   NW,   NW,   NW,   NW,   NW,   NW,   NW,   NW,   NW,  NNW,  NNW,  NNE,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,   NW,   NW,   NW,   NW,  NNW,  WSW,     ,     ,     ,   24,     
 2日,  NNW,   NW,   NW,  WNW,    W,  WNW,   NW,   SW,   SW,    W,  WSW,   SE,  SSE,   SE,   SE,  SSE,   SE,    E,    C,  NNW,   NE,  NNW,  NNW,   NW,     ,     ,     ,   24,     
 3日,   NW,   NW,  WNW,  WNW,  WNW,    W,  WSW,    W,  WNW,   NW,   NW,  NNW,  WNW,  SSW,   SW,  SSW,    S,    C,  NNW,    N,  NNW,  NNW,  WNW,  WNW,     ,     ,     ,   24,     
 4日,  WNW,    W,   NW,   NW,   NW,  NNW,    C,  WSW,    W,    C,    C,    E,  WNW,   NW,  WNW,    N,    C,    C,   NW,    S,    W,  WNW,  WNW,  WNW,     ,     ,     ,   24,     
 5日,  WNW,    W,  WNW,   NW,  NNW,  WNW,  SSW,    N,  NNW,  NNW,  NNW,   NW,  NNE,   NE,  NNW,   SE,   SE,   SE,   SE,   SE,  ESE,  SSE,   SE,    S,     ,     ,     ,   24,     
 6日,   SW,  SSE,  SSW,    S,    S,  SSW,  SSW,    S,    S,  SSW,  SSW,  SSW,  SSW,  SSW,  SSW,    S,   SW,   NW,   NW,  NNW,   NW,  NNW,   NW,  NNW,     ,     ,     ,   24,     
 7日,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,   NW,   NW,   NW,   NW,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,    N,  NNW,  NNW,    N,  NNW,  NNW,     ,     ,     ,   24,     
 8日,  NNW,  NNW,   NW,  WNW,   NW,   NW,  WNW,    W,  WNW,   NW,  WNW,   NW,  NNW,   NW,   NW,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,   NW,   NW,     ,     ,     ,   24,     
 9日,   NW,  NNW,   NW,   NW,  NNW,  NNW,   NW,   NW,   NW,   NW,   NW,   NW,   NW,  NNW,   NW,   NW,  NNW,  NNW,  NNW,   NW,  NNW,   NW,  NNW,  NNW,     ,     ,     ,   24,     
10日,  NNW,  NNW,   NW,   NW,  WNW,   NW,  NNW,   NW,  WNW,  NNW,   NW,   NW,   NW,  NNW,   NW,   NW,    N,   NE,    N,    N,  NNW,  NNW,  NNW,  NNW,     ,     ,     ,   24,     
11日,  NNW,   NW,  WNW,  WNW,  WNW,    W,  NNW,  WNW,   NW,  NNW,    W,   SE,    S,  SSE,  SSW,   SW,   SW,   SW,   SW,  WSW,  WNW,  NNW,  WNW,   NW,     ,     ,     ,   24,     
12日,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  WNW,   NW,   NW,   NW,  NNW,  WNW,   NW,   NW,   NW,   NW,   NW,   NW,   NW,  NNW,   NW,   NW,  NNW,  WNW,     ,     ,     ,   24,     
13日,  WNW,  WNW,   NW,   NW,   NW,   NW,  NNW,  NNW,   NW,  NNW,    N,  NNW,  NNE,  NNE,   NW,   SE,  SSW,   NW,  NNW,  NNW,  NNW,  NNW,   NW,   NW,     ,     ,     ,   24,     
14日,  NNW,   NW,    W,    W,   NW,  WNW,  NNW,  WNW,  NNE,  NNW,    S,   SE,  ESE,  ESE,    S,    C,    C,    C,  ESE,    C,  NNW,  NNW,  WNW,  WNW,     ,     ,     ,   24,     
15日,  WNW,    C,  WNW,  WNW,   NW,  NNW,  NNW,  NNW,  NNW,    N,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,   NW,  NNW,    N,  NNW,    N,    N,     ,     ,     ,   24,     
16日,  NNW,   NW,   NW,   SE,   NW,  NNW,   NW,    W,    W,  NNW,  WNW,   NW,  WSW,   SE,   SE,  ESE,   SE,  ESE,   SE,  ESE,    E,    E,   NE,    W,     ,     ,     ,   24,     
17日,  WNW,  WNW,  WNW,  WNW,  WNW,  SSW,  WSW,  WNW,   NW,   NW,  NNW,   NW,   NW,  NNW,   NW,  NNW,  NNW,   NW,   NW,   NW,  NNW,   NW,   NW,   NW,     ,     ,     ,   24,     
18日,   NW,   NW,   NW,  WNW,   NW,  NNW,   NW,   SW,  WNW,  NNW,    W,  WSW,   SW,   SW,   SW,  WNW,  NNW,  NNW,  WNW,   NW,   NW,  NNW,  NNW,    N,     ,     ,     ,   24,     
19日,  NNW,  NNW,  NNW,    W,   NW,   NW,    W,   NW,    E,    N,  NNW,    N,  SSE,    N,    N,  NNW,   NW,    N,   NW,  NNW,   NW,   NW,   NW,   NW,     ,     ,     ,   24,     
20日,  NNW,  NNW,  NNW,   NW,  NNW,   NW,   NW,   NW,   NW,   NW,   NW,   NW,  NNW,  NNW,  NNW,   NW,  NNW,   NW,  NNW,  NNW,  NNW,   NE,    N,  NNW,     ,     ,     ,   24,     
21日,    N,  NNW,  NNW,   NW,   NW,  NNW,  NNW,   NW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,  WNW,     ,     ,     ,   24,     
22日,   NW,  NNW,  NNW,  NNW,  NNW,    N,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,    N,   NW,   NW,  NNW,   NW,  NNW,  NNW,  NNW,   NW,     ,     ,     ,   24,     
23日,    N,    W,  NNW,    N,   SW,  WSW,    S,  WNW,  WSW,  WNW,   NW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,  NNW,     ,     ,     ,   24,     
24日,  NNW,  NNW,   NW,   NW,   NW,   NW,   NW,   NW,    N,  NNW,   NE,    E,    E,  ESE,  ESE,  ESE,   SE,  SSE,    C,  WNW,  SSW,  WNW,  NNW,   NW,     ,     ,     ,   24,     
25日,  WNW,  WNW,   NW,  NNW,   NW,  NNW,  NNW,  NNW,  NNW,  NNW,    E,   SE,  ESE,   SE,  ESE,   SE,  ESE,   SE,    E,    E,    E,    E,    C,   NW,     ,     ,     ,   24,     
26日,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,    N,  NNE,  SSE,   SE,  SSE,    S,   SE,    E,    E,   NE,    C,   NW,   NW,   NW,  NNW,     ,     ,     ,   24,     
27日,  NNW,    N,  NNW,  NNW,   NW,   NW,    N,  NNW,  NNW,  NNW,   NW,  WNW,   SW,  WNW,  SSW,  NNW,  NNW,   NW,  NNW,   NW,  NNW,    N,    N,  NNW,     ,     ,     ,   24,     
28日,    N,    N,    N,  NNW,    N,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,  NNW,     ,     ,     ,   24,     
29日,  NNW,  NNW,   NW,  NNW,  NNW,  NNW,  NNE,    N,  NNW,    N,   NE,    E,    E,  ESE,    E,   SE,  ESE,   SE,  ESE,  ESE,    E,    E,  ENE,  ENE,     ,     ,     ,   24,     
30日,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,   NW,   NW,  NNW,  NNW,  NNW,  NNW,   NW,  NNW,  NNW,   NW,   NW,   NW,  NNW,  NNW,  NNW,  WNW,   NW,     ,     ,     ,   24,     
31日,  SSW,   SE,    W,   SW,    C,   NW,   NW,   NW,  NNW,  NNW,   NW,   NW,   NW,   NW,  NNW,  NNW,  NNW,  NNW,  NNW,   NW,   NW,   NW,   NW,  WNW,     ,     ,     ,   24,     
風向,  NNE,   NE,  ENE,    E,  ESE,   SE,  SSE,    S,  SSW,   SW,  WSW,    W,  WNW,   NW,  NNW,    N,    C,     ,     ,     ,     ,     ,     ,     ,
頻度,    7,    8,    2,   19,   17,   28,    9,   13,   18,   16,   10,   21,   64,  197,  262,   37,   16,     ,     ,     ,     ,     ,     ,     ,
割合,  0.9,  1.1,  0.3,  2.6,  2.3,  3.8,  1.2,  1.7,  2.4,  2.2,  1.3,  2.8,  8.6, 26.5, 35.2,  5.0,  2.2,     ,     ,     ,     ,     ,     ,     ,
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  744,     
合計,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目,(12),風速              ,単位,0.1m/s
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   52,   44,   34,   29,   39,   34,   31,   33,   42,   16,   28,   27,   32,   50,   16,   15,   39,   42,   46,   29,   30,   22,   26,    4,   32,   52,    4,   24,  760
 2日,   15,   14,   18,   11,    6,    9,   12,   10,    5,    6,    6,    5,   17,   12,   17,   15,    4,   10,    1,    5,    5,   12,   26,   22,   11,   26,    1,   24,  263
 3日,   15,   16,   11,    8,   11,    8,   10,    6,   16,   28,   36,   34,   21,   14,   26,   21,    7,    0,    8,    5,   19,   12,   11,   10,   15,   36,    0,   24,  353
 4日,    9,    7,    7,    6,    9,    6,    1,    5,    7,    2,    1,    6,   10,   11,    7,    3,    2,    2,    3,    4,    6,    9,    4,    4,    5,   11,    1,   24,  131
 5日,    7,    5,    9,    3,   14,    3,    6,   13,   32,   59,   36,   30,   22,   16,   10,    5,    6,    6,    3,    7,    6,   10,    6,    9,   13,   59,    3,   24,  323
 6日,    9,    8,   10,   24,   34,   26,   44,   45,   45,   52,   44,   57,   60,   59,   43,   44,   10,   32,   33,   61,   69,   61,   53,   53,   41,   69,    8,   24,  976
 7日,   56,   50,   52,   43,   47,   47,   39,   37,   43,   33,   41,   41,   28,   13,   21,    3,   37,   36,   30,   43,   43,   46,   40,   38,   38,   56,    3,   24,  907
 8日,   44,   29,   45,   28,   35,   31,   38,   26,   40,   36,   39,   44,   43,   43,   35,   30,   43,   37,   31,   39,   39,   31,   36,   39,   37,   45,   26,   24,  881
 9日,   37,   25,   34,   34,   34,   31,   31,   32,   34,   39,   38,   37,   32,   26,   26,   32,   25,   35,   30,   25,   27,   18,   24,   23,   30,   39,   18,   24,  729
10日,   16,   21,   21,   17,   15,   25,   11,   31,   19,   43,   33,   51,   45,   51,   25,   22,    4,    3,   10,   19,   20,   32,   28,   31,   25,   51,    3,   24,  593
11日,   28,    9,    9,   16,    9,    7,    7,    8,   13,   18,   10,   18,   19,   31,   33,   36,   19,   23,   28,   30,   12,   21,   20,   35,   19,   36,    7,   24,  459
12日,   43,   40,   35,   47,   39,   31,   21,   22,   41,   52,   66,   43,   34,   48,   33,   45,   46,   36,   37,   24,   26,   31,   20,   25,   37,   66,   20,   24,  885
13日,   30,   20,   14,   17,   28,   18,   22,   25,   16,   24,   20,   23,   19,   19,   12,   17,    7,   15,   23,   19,   22,   23,   16,   17,   19,   30,    7,   24,  466
14日,   12,    4,    3,    8,   11,   10,   19,   11,   11,   16,    7,    5,   14,   10,    6,    2,    2,    1,    6,    0,    4,    9,   14,    6,    8,   19,    0,   24,  191
15日,   12,    0,    9,   12,   15,   17,   15,   18,   16,   17,   17,   25,   17,   56,   39,   43,   57,   53,   46,   60,   46,   33,   26,   26,   28,   60,    0,   24,  675
16日,   21,   30,   15,    6,   24,   26,   23,    6,    5,   25,   13,   26,    5,   16,   18,   14,   11,   24,   14,    5,   14,   16,    4,   10,   15,   30,    4,   24,  371
17日,   15,   12,   13,    3,    8,   10,    9,   16,   26,   34,   57,   44,   59,   56,   58,   44,   43,   47,   44,   39,   75,   57,   46,   29,   35,   75,    3,   24,  844
18日,   32,   42,   33,   19,   22,   20,   15,   15,   25,   29,   28,   20,   18,   21,   15,    7,   21,   31,    7,   17,   13,    9,   24,   14,   21,   42,    7,   24,  497
19日,   27,   14,    7,    9,   22,   17,    5,   17,    3,   15,   16,   13,    3,    8,   13,   19,    5,    9,   33,   46,   30,   28,   32,   29,   18,   46,    3,   24,  420
20日,   34,   21,    9,   13,   16,   28,   31,   26,   35,   32,   32,   33,   32,   32,   32,   41,   43,   41,   49,   46,   47,   20,   17,   11,   30,   49,    9,   24,  721
21日,   13,   22,   16,   22,   25,   28,   17,   15,   29,   33,   33,   23,   27,   28,   43,   19,   26,   30,   39,   34,   25,   31,   24,   20,   26,   43,   13,   24,  622
22日,   26,   22,   25,   10,   24,   16,   19,   29,   20,   11,   13,   18,   22,   10,   21,   21,   17,   29,   21,   29,   29,   14,   30,   13,   20,   30,   10,   24,  489
23日,   15,    3,   12,   13,    3,    7,    4,    6,    8,   12,   60,   35,   47,   56,   57,   66,   57,   57,   65,   59,   55,   60,   64,   51,   36,   66,    3,   24,  872
24日,   51,   56,   46,   46,   39,   34,   32,   26,   16,   30,   14,    8,   19,   14,   13,    8,    5,   10,    0,    7,    8,    6,    3,    6,   21,   56,    0,   24,  497
25日,   14,   18,   14,   25,    9,   25,   13,   19,   26,   18,   12,    7,   20,   16,    8,    8,    8,    7,   25,   26,   17,   13,    2,   11,   15,   26,    2,   24,  361
26日,   18,   18,   18,   28,   18,   23,   28,   20,    8,    5,    7,   15,   21,   17,   21,   13,   12,    5,    5,    1,   11,   17,   20,   21,   15,   28,    1,   24,  370
27日,   26,   32,   26,   27,   33,   30,   20,   28,   32,   20,   17,    8,   11,   16,   10,   31,   34,   28,   27,   43,   48,   46,   38,   32,   28,   48,    8,   24,  663
28日,   29,   21,   31,   46,   36,   35,   39,   53,   46,   53,   58,   49,   32,   45,   55,   48,   41,   43,   41,   34,   33,   22,   33,   40,   40,   58,   21,   24,  963
29日,   38,   37,   32,   39,   23,   30,   20,   23,   34,   16,   15,   13,   26,   24,   23,    7,    7,    6,   23,   15,   14,   14,    8,   15,   21,   39,    6,   24,  502
30日,    4,   12,   17,   26,   19,   26,   26,   24,   31,   28,   25,   32,   21,   26,   31,   41,   26,   35,   33,   37,   29,   23,   18,    8,   25,   41,    4,   24,  598
31日,    8,    3,    6,    5,    2,   12,   28,   30,   42,   46,   45,   47,   68,   65,   68,   54,   50,   46,   48,   45,   35,   20,   33,   44,   35,   68,    2,   24,  850
平均,   24,   21,   20,   21,   22,   22,   21,   22,   25,   27,   28,   27,   27,   29,   27,   25,   23,   25,   26,   28,   28,   25,   24,   22,   25,     ,     ,     ,     
最高,   56,   56,   52,   47,   47,   47,   44,   53,   46,   59,   66,   57,   68,   65,   68,   66,   57,   57,   65,   61,   75,   61,   64,   53,     ,   75,     ,     ,     
最低,    4,    0,    3,    3,    2,    3,    1,    5,    3,    2,    1,    5,    3,    8,    6,    2,    2,    0,    0,    0,    4,    6,    2,    4,     ,     ,    0,     ,     
日数,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,   31,     ,     ,     ,  744,     
合計,  756,  655,  631,  640,  669,  670,  636,  675,  766,  848,  867,  837,  844,  909,  835,  774,  714,  779,  809,  853,  857,  766,  746,  696,     ,     ,     ,     ,18232
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目,(13),温度              ,単位,  0.1℃
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,   60,   67,   60,   55,   53,   48,   41,   41,   58,   67,   59,   54,   43,   41,   45,   46,   42,   37,   30,   26,   23,   22,   23,   15,   44,   67,   15,   24, 1056
 2日,   17,   20,   17,   11,    0,    0,   -2,   14,   19,   34,   47,   71,   73,   77,   70,   65,   59,   46,   38,   41,   39,   44,   34,   21,   36,   77,   -2,   24,  855
 3日,   24,   21,   19,   16,   13,    7,    9,   31,   50,   71,   76,   93,  104,   95,   90,   78,   71,   60,   57,   54,   50,   44,   41,   36,   50,  104,    7,   24, 1210
 4日,   29,   29,   28,   27,   25,   22,   19,   21,   36,   44,   78,   87,  102,  103,  106,   96,   78,   70,   68,   60,   52,   50,   43,   39,   55,  106,   19,   24, 1312
 5日,   40,   29,   35,   34,   38,   31,   27,   60,   87,  101,  116,  128,  129,  130,  128,  118,  100,   98,   93,   88,   84,   83,   87,   90,   81,  130,   27,   24, 1954
 6日,   95,   95,   99,  107,  109,  117,  121,  121,  123,  133,  147,  162,  148,  143,  136,  138,  140,  112,  103,   98,   91,   81,   70,   66,  115,  162,   66,   24, 2755
 7日,   61,   57,   51,   49,   44,   45,   42,   48,   59,   61,   72,   85,   96,  102,  101,   87,   80,   71,   61,   56,   51,   47,   46,   42,   63,  102,   42,   24, 1514
 8日,   40,   46,   46,   39,   41,   45,   46,   60,   77,   95,  110,  108,  120,  117,  117,  100,   84,   75,   67,   60,   56,   54,   54,   56,   71,  120,   39,   24, 1713
 9日,   55,   55,   53,   50,   50,   47,   46,   60,   77,   92,  110,  112,  120,  122,  118,  102,   88,   83,   78,   69,   65,   62,   60,   56,   76,  122,   46,   24, 1830
10日,   49,   49,   51,   42,   38,   44,   38,   60,   80,   93,  113,  110,  116,  118,  119,  107,   88,   79,   80,   75,   70,   66,   59,   56,   75,  119,   38,   24, 1800
11日,   55,   49,   48,   42,   35,   30,   27,   59,   85,   95,  107,   97,  110,  113,  119,  111,  101,   92,   85,   80,   74,   77,   68,   62,   76,  119,   27,   24, 1821
12日,   57,   53,   49,   43,   40,   36,   32,   45,   62,   70,   78,   90,   98,  100,   99,   88,   74,   67,   61,   59,   54,   56,   51,   45,   63,  100,   32,   24, 1507
13日,   50,   48,   48,   48,   51,   48,   46,   58,   74,   92,  112,  107,  125,  121,  129,  108,   98,   89,   85,   76,   68,   65,   65,   61,   78,  129,   46,   24, 1872
14日,   58,   53,   42,   39,   41,   39,   38,   46,   68,   85,  104,  109,  110,  104,  103,  103,  103,   98,   98,   99,   99,   96,   93,   90,   80,  110,   38,   24, 1918
15日,   88,   84,   86,   82,   82,   80,   79,   78,   81,   74,   63,   61,   59,   49,   47,   43,   45,   40,   45,   53,   57,   59,   61,   67,   65,   88,   40,   24, 1563
16日,   65,   68,   64,   63,   70,   69,   66,   73,   92,  110,  130,  138,  146,  123,  114,  112,  111,  100,  101,  102,  102,   98,   91,   88,   96,  146,   63,   24, 2296
17日,   80,   74,   69,   64,   61,   50,   51,   70,   99,  116,  115,  122,  107,  110,   90,   86,   67,   56,   53,   48,   41,   38,   33,   28,   72,  122,   28,   24, 1728
18日,   21,   20,   22,   18,   20,   21,   17,   35,   61,   74,   95,  108,  104,  105,  112,  100,   84,   72,   67,   60,   57,   56,   52,   50,   60,  112,   17,   24, 1431
19日,   45,   43,   41,   30,   24,   20,   17,   28,   53,   72,   98,   97,  127,  127,  129,  120,  111,  102,   90,   81,   71,   67,   62,   58,   71,  129,   17,   24, 1713
20日,   56,   54,   52,   51,   56,   55,   53,   63,   73,   96,  108,  113,  119,  117,  114,   97,   84,   74,   67,   60,   57,   54,   52,   53,   74,  119,   51,   24, 1778
