    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (2),オキシダント          ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
最低,    1,    1,    1,    1,    1,    1,    1,    1,    2,    2,    2,    2,    5,    1,    1,    3,    2,    1,    1,    1,    1,    1,    1,    1,     ,     ,    1,     ,     
日数,   24,   29,   29,   29,   29,   29,   29,   29,   29,   27,   27,   27,   26,   27,   27,   28,   29,   29,   29,   29,   29,   29,   29,   29,     ,     ,     ,  677,     
合計,  463,  583,  609,  592,  549,  523,  466,  417,  496,  560,  662,  743,  760,  766,  763,  742,  675,  588,  564,  586,  592,  591,  574,  555,     ,     ,     ,     ,14419
    ,大気環境月報　　,平成27年1月
    ,測定場所,(107),品川区豊町                   ,項目, (3),一酸化窒素           ,単位,   ppb
    ,  1時,  2時,  3時,  4時,  5時,  6時,  7時,  8時,  9時, 10時, 11時, 12時, 13時, 14時, 15時, 16時, 17時, 18時, 19時, 20時, 21時, 22時, 23時, 24時, 平均, 最高, 最低, 回数, 合計
 1日,    0,    0,    0,    0,    0,    0,    0,    1,    1,    1,    1,    1,    1,    1,    0,    0,    0,    0,    0,    0,    1,    1,    0,    1,    0,    1,    0,   24,   10
 2日,*****,    0,    0,    0,    0,    1,    1,    4,   10,    9,    7,    6,    3,    5,    7,    2,    1,    1,    1,    2,    7,    2,    5,    1,    3,   10,    0,   23,   75
 3日,    1,    0,    0,    0,    0,    0,    1,    3,    3,    2,    1,    1,    1,    1,    1,    1,    1,    1,    3,    3,    1,    1,    1,    2,    1,    3,    0,   24,   29
 4日,    2,    1,    1,    3,    2,    3,    2,    7,   18,   19,   17,   12,    9,    4,    4,    2,    2,   11,   37,   63,   87,   81,   67,   61,   21,   87,    1,   24,  515
 5日,   39,   34,   40,   42,   33,   19,   18,   22,    9,    6,    5,    3,    2,    2,    2,    1,    1,    1,   32,   44,   25,   27,    8,    6,   18,   44,    1,   24,  421
 6日,    2,    1,    1,    0,    0,    0,    0,    1,    1,    1,    1,    1,    1,    0,    1,    0,    0,    1,    1,    0,    1,    0,    0,    0,    1,    2,    0,   24,   14
 7日,    0,    0,    0,    0,    0,    0,    0,    1,    2,    3,    4,    4,    3,    2,    3,    2,    1,    1,    1,    0,    1,    0,    1,    0,    1,    4,    0,   24,   29
 8日,*****,    0,    0,    0,    0,    0,    1,    3,    4,    3,    3,    3,    3,*****,*****,    2,    1,    1,    1,    1,    1,    0,    1,    0,    1,    4,    0,   21,   28
 9日,    0,    0,    0,    0,    0,    0,    1,    3,    5,    4,    4,    4,    3,    3,    3,    1,    1,    1,    0,    1,    1,    1,    1,    1,    2,    5,    0,   24,   38
10日,    1,    1,    0,    0,    1,    1,    1,    8,    5,    5,    3,    2,    1,    2,    1,    1,    1,    1,    1,    1,    1,    1,    0,    1,    2,    8,    0,   24,   40
11日,    0,    0,    0,    0,    1,    2,    1,    4,    6,    5,    3,    4,    7,    4,    1,    1,    0,    0,    0,    1,    1,    1,    1,    0,    2,    7,    0,   24,   43
12日,    0,    0,    0,    0,    0,    0,    0,    1,    2,    1,    2,    2,    1,    1,    1,    1,    1,    0,    1,    1,    1,    1,    1,    1,    1,    2,    0,   24,   19
13日,    1,    0,    0,    0,    0,    0,    2,    4,    6,    7,    7,    4,    3,    3,    3,    4,    4,    5,    1,    1,    1,    1,    1,    1,    2,    7,    0,   24,   59
14日,*****,    1,    1,    5,   30,    3,    1,   23,   21,   21,   23,   25,   57,   66,   60,   52,   46,   54,  144,  208,  141,   78,   51,   30,   50,  208,    1,   23, 1141
15日,   37,   58,   55,   27,   23,   17,   22,   28,   42,   58,   62,   50,*****,   28,   15,    6,    5,    2,    1,    1,    1,    1,    1,    1,   24,   62,    1,   23,  541
16日,    0,    0,    0,    0,    0,    0,    1,    5,   18,   10,    8,    5,    5,   19,   31,   19,    3,    3,    1,    1,    3,    1,    2,    5,    6,   31,    0,   24,  140
17日,   15,    7,    2,    1,    2,    4,   16,   25,   24,   12,    5,    3,    2,    2,    2,    1,    1,    1,    1,    0,    0,    0,    0,    0,    5,   25,    0,   24,  126
18日,    0,    0,    0,    0,    0,    0,    0,    1,    2,    2,    1,    1,    2,    2,    2,    1,    1,    0,    1,    1,    1,    1,    1,    1,    1,    2,    0,   24,   21
19日,    1,    0,    0,    0,    1,    1,    5,   18,   22,   23,   27,   21,   10,    9,    7,    4,    2,    2,    6,    1,    1,    0,    1,    0,    7,   27,    0,   24,  162
20日,*****,    0,    0,    0,    0,    0,    1,    4,    8,    7,    6,    5,    4,    3,    3,    2,    1,    1,    0,    1,    0,    1,    1,    1,    2,    8,    0,   23,   49
21日,    1,    1,    0,    1,    1,    0,    3,    8,    9,   17,   20,   14,    7,   11,   16,    9,    5,    2,    2,    1,    1,    1,    1,    1,    6,   20,    0,   24,  132
22日,    2,    1,    1,    0,    1,    1,    1,    3,   11,   13,   17,   18,   19,   16,*****,*****,   17,   27,   13,    3,    1,    1,    1,    1,    8,   27,    0,   22,  168
23日,    1,    1,    0,    1,    1,    2,   37,   74,  126,   85,   12,    3,    4,    3,    3,    2,    1,    1,    0,    1,    0,    0,    0,    0,   15,  126,    0,   24,  358
24日,    0,    0,    0,    0,    0,    0,    0,    1,    2,    3,    6,   13,   12,   10,    9,    9,    5,    6,   29,   45,   54,   51,   47,   46,   15,   54,    0,   24,  348
25日,   48,   61,   42,   17,    2,    3,    2,    6,    9,    9,    8,    5,    4,    3,    1,    1,    1,    0,    0,    1,    1,    0,    1,    1,    9,   61,    0,   24,  226
26日,*****,    1,    1,    0,    1,    1,    1,    4,    6,   15,   12,    7,   32,   28,    7,    9,   17,   48,   87,   82,   67,   55,   36,   20,   23,   87,    0,   23,  537
27日,    4,    1,    1,    1,    1,    0,    1,    4,    8,   11,    9,    8,    6,    6,    5,    1,    1,    1,    0,    0,    0,    0,    0,    0,    3,   11,    0,   24,   69
28日,    0,    0,    0,    0,    0,    0,    1,    1,    2,    4,    3,    3,    3,    2,    2,    1,    1,    0,    0,    0,    1,    1,    1,    0,    1,    4,    0,   24,   26
29日,    0,    0,    0,    0,    0,    0,    1,    5,    9,   10,    8,   10,   15,*****,    7,    4,    2,    1,    1,    0,    0,    1,    2,    2,    3,   15,    0,   23,   78
30日,    1,    1,    1,    1,    2,    3,    5,    9,   12,   12,   12,   12,   13,    8,   11,    7,    4,    2,    2,    1,    1,    1,    2,    9,    6,   13,    1,   24,  132
31日,    9,   17,   20,   23,   27,   33,   23,   10,    6,    4,    4,    2,    1,    1,    1,    1,    1,    1,    0,    1,    1,    1,    1,    1,    8,   33,    0,   24,  189
平均,    6,    6,    5,    4,    4,    3,    5,    9,   13,   12,   10,    8,    8,    8,    7,    5,    4,    6,   12,   15,   13,   10,    8,    6,    8,     ,     ,     ,     
最高,   48,   61,   55,   42,   33,   33,   37,   74,  126,   85,   62,   50,   57,   66,   60,   52,   46,   54,  144,  208,  141,   81,   67,   61,     ,  208,     ,     ,     
